4649,Guus Duchateau
8685,Genevieve Davis
9033,Gael DURAND
14479,Gary W. Dunham
18941,Gilles Didier
19765,Gerard van Dalen
19768,George P. Demopoulos
25649,Gert Durieux
39338,Grigoris Dimitroulakos
41769,Guy Denhire Denhiere
47395,Gary A. Dilts
51976,Gert Dandanell
58287,Graham Doig
63735,G. Deschamps
69533,Gavan Duffy
71419,Gregory C. DeAngelis
71851,G. Durin
74550,Gabriel M. Daalmans
81148,Guy Davenport
86985,G. n. Dalrymple
104686,G. Douglas
117555,Geometriae Dedicata
120579,G. DANTAS
121011,G. Denk
126472,Gisbert Dittrich
127227,Giuliano Dragone
139808,G. K. Dey
141509,Graeme C. Dandy
141548,G. Kumar Davies
144044,G. S. Dubey
152622,G. Dup'e
158881,Gillian Dobbie
159137,G. J. Dunn
159385,Gnanamalar David
166358,Greg DeFouw
169371,GSMJE Duchateau
169721,Gilles Dowek
169841,Gerd Duning
181026,G. Daems
182140,G. Dupras
183694,G. E. Dorda
186670,Gregory C. Delzer
196556,G. D'Agostini
197021,Guy Dumais
198750,Giovanni Durando
207591,Garfield Dean
212727,G. Durisi
212927,Gopinath Durairaj
226194,Giuseppe Dattoli
230106,Golub Jakobovi Department
240722,Gte Federal System Division
251504,Guarantees Viet Dung
256776,Giovanni Dosi
256957,G. A. Darey
259574,Gregory K. Druschel
261107,G. B. Denegri
262208,Gene R. DiResta
264225,Gaudenz Danuser
265608,Guus S. M. J. E. Duchateau
266922,Graph Drawing
270825,Guus Duchateau
275675,George Turner Duncan
283087,George Da
287410,Glenn Davis
287828,Genevieve Dardier
293321,G. S. Dobby
302985,G. f. g. Depovere
306506,George Demiris
314224,Gill Dobbie
322220,Guillaume Dromel
334426,Gottfried H. Dohler
338692,G. Demartini
338760,G. C. Daughton
343129,GRETCHEN J. DARLINGTON
348228,Gc Deangelis
350588,G. J. Donaldson
359226,Gianne Derks
369287,Geoffrey A. Dorn
369839,George S. Day
371246,Giuseppe Degrassi
376765,Gayla S. Domke
379308,G. De
382120,G. Do
382855,G. A. Desborough
384186,G. Charles Dismukes
401313,G. L. Desilets
404987,G. Dellacasa
413894,Greg Dermer
415279,George von Dassow
420898,Gemma Dodson
423009,Gautham K. Dorai
430645,Gerd Eberhard Dethloff
432004,G. Donzellini
444074,George Drettakis
447829,Grzegorz Dogil
448739,G. Deminova
461314,Graceful Degradation
461332,Georgios Dimitriou
461680,Guy Delacretaz
467952,Graham Dmnpleton
470636,Gustavo Deco
478620,Gianfranco DeGrandi
479863,Gerard van Dalen
491728,G. Duerling
507994,Gaurav Datt
511031,Gladys Garcia Delgado
512443,GM Doniger
514061,Gaudenz Danuser
522057,G. S. M. J. E. Duchateau
531535,George R. Dold
534777,Gustavo Dotti
541724,Gilles Debunne
541937,GIAN ANTONIO DANIELI
568199,G. Dishaw
569222,G. d'iaz
574525,Gulsen Demiroz
575897,Gel By Digestion
589234,George E. M. Ditsa
590627,Geethanjali Dornadula
593324,Gilbert J. Declerck
593990,Gh Devries
604883,Geert Depovere
621291,Gregory W. W. Diehl
632855,Gerard Dreyfus
636112,G. A. Dirac
647048,Garc ´ ia Dur
649779,Gihan V. Dias
653912,Gilles Deleuze
667460,Gabriel L. Dava
670929,George Dadoun
673571,Glaucius Decio Duarte
675937,G. S. M. J. E. Duchateau
681493,Guillaume Doumenc
696944,G. Dingemans
710046,G. J. Dohrmann
710470,Globin Gene Disorders
712388,George Doddington
713025,G. Develey
714589,G. Dammertz
719260,George Davis
722857,Gerald L. D'Spain
729169,G. Gallagher Daggitt
734255,George C. Demetriou
738069,Geert Dhaene
741568,Godelieve Deblonde
749108,Guillaume Dewaele
750396,Gerard Dreyfus
752039,G. Charles Dismukes
758063,G. t. f. Deabreu
758859,G. Durana
762202,Giuseppe Delmestri
763038,G. Barbara Demo
775119,Goodkin De
775814,G. f. D'alleva
784391,G. Denicolao
788983,G. Dimassa
791864,Gary Danielson
792305,Gee Sam Dow
792886,Gan Du
803930,G. Day
809824,Georgios Drettakis Degre
810790,Garth D'attilo
826817,Gaspar Delso
832179,Georg S. Duesberg
836269,Gabriel Dermler
839021,G DEGRAAF
847812,Gill Dobbie
855658,G. Denis
863324,Gianluca Donato
866492,George Despotou
866918,Gábor Domokos
870542,Gerard Dreyfus
875111,G. Dellacas
876651,Gordon I. Dodds
884146,Gennadii Demidenko
885120,G. V. Davidenko
888114,Graduate Diplom
894858,G. Dougenis
895276,Gabriel Demombynes
897498,G. Dube
902674,Gilles Deflandre
909123,G. Drasch
917866,Gabriella Dodero
920015,Gene Dresselhaus
929083,Gustavo Dotti
930172,G. H. Dobbins
934231,George W. Dinolt
934488,Giovanni Dosi
936780,Gerard Dreyfus
939389,Guy Lapaline Dpartement
951893,G. Sander van Doorn
952048,Guan Hua Duan
954130,G. P. Duggan
960839,Gerardine Doyle
960862,Grant B. Deane
964352,Gavin J. Doherty
973574,George Daskalakis
978113,Gianfranco Doretto
991061,Glen Daniels
997392,Gary Demos
1016828,Guido Dornhege
1022042,Gary L. Dekow
1028398,Greg Jane Dept
1029948,Gary Doolen
1037847,G. Delisle
1040289,G. Desargant
1040824,G. Duff
1042984,G. M. Doherty
1054437,Geoffrey Durou
1057338,G. Dufiee
1058648,Guang Ren Duan
1067264,Geschaftsfuhrerin Aqua Dome
1073063,Giovanna Di
1075481,Glenn O. Dearing
1078662,Gary S. Dell
1079345,Gabriele Danninger
1079437,Gavin B. Dalton
1083173,Glenn N. Dickins
1097957,Guilherme A. D. Dias
1100516,Gerard van Dalen
1102978,G. Danyi
1104820,G. Dan
1106144,Gabriel David
1109076,George S. Davidson
1112608,G'abor D'ozsa
1114380,Gustavo Deco
1114563,George L. Donohue
1115987,Georg Duftschmid
1116433,Gary S. Dell
1128830,Gregory L. Daniels
1132588,G. Dunne
1137070,Gustav Dahll
1144714,Gary S. Ditlow
1151150,Gregory K. Druschel
1152506,Guang Hua Duan
1160564,G. DONATI
1164229,Greg Delemeester
1175244,G. D'Angiolo
1207297,Gabriella D'Orazi
1209015,Geir Dahl
1212590,G. Daccord
1215075,Gilles Dussault
1219093,Gulderen Yanikkaya Demirel
1220395,Graham C. Denham
1222283,Go Demars
1223851,Gilles Duranton
1235107,G. Duchemin
1246071,Gregory W. Donohoe
1246083,Gesualdo Delfino
1248414,G. L. Ding
1251837,G. T. Danby
1259242,Gordon C. Douglas
1267668,G. T. Dang
1269624,G. J. Digirolamo
1282359,Grzegorz Dudek
1286251,G. C. Dismukes
1287428,G. F. Dell
1292741,Greg J. Duncan
1316207,G. Van Derauwera
1319494,Gary L. Donner
1322417,George Deibert
1331668,G. Derderian
1337459,Giuliana Decorti
1339440,Gad Degani
1340094,G. Drozdy
1342186,George Danezis
1342978,G. a. Duchene
1348674,G. Degr
1353301,Georges Dionne
1357016,Germany Ministry Of Defense
1364640,G Duhee
1364806,Giilay Derebasi
1370995,G. Dollinger
1372259,G. a. Demetriou
1372540,Georges A. Darbellay
1383678,Guilan Ding
1386546,G. Dombiak
1391349,G. Das
1395628,G. W. Davidson
