15,D. Jakominich
10586,D. A. Jonassen
24899,David Johnson
48084,Donald L. Jordan
51873,Daniel Jasper
52380,Denis Jouvet
73881,David S. Johnson
76492,Douglas A. Johnson
85793,Du Croz J J
90777,Dietmar Jannach
92368,Denis Jouvin
92423,Dong Yun Jung
98641,Dong Mei Jiang
103619,Douglas N. Jackson
104116,Dirk Jager
106728,Disjunctive Queries Jens
108095,Dilan Jayaweera
109252,Dale W. JORGENSON
126622,Dale W. Jorgenson
126692,D. C. Jessep Jr.
159316,D. S Johson
167886,Daniel Jurafsky
175887,D. T. Jost
182722,David Green Jr.
185559,David J. Johnson
193889,Dae Sung Joo
201675,Da Wei Juang
203478,D. Johansen
217179,David J. Jones
223850,Deming Chen Jason
235484,David P. Janos
251517,D. Janisse
261534,Daniel J. Ryan Jr.
268005,Deng Julong
274313,Db Jaffe
284178,D. L. Jindrich
294502,Donald Jennings
303702,D. Vere jones
311616,D. H. Janzen
318304,Doris Jung
321041,David M. Jones
321272,D. Joseph
325747,David Joffe
364996,D. Jordaan
366108,Danielle Vanhoenacker janvier
369313,D. Janches
371602,Dominique Jeulin
375215,Dean Jamison
380643,Dirk Jansen
385342,D. Jedrzejczyk
398231,D. F. V. James
399502,David Jensen
401007,D. E. James
407692,Dwight M. Jaffee
427025,Deborah Jeffrey
430900,David Viveiros Jr
433240,Dag Johansen
466863,Di James
469037,D. V. Jauregui
475809,D. I. Jeerings
477321,Dilip Antony Joseph
479081,Donald A. Jardine
509659,David Buck Jolley
509850,David B. Jack
525722,Dawn N. Jutla
527089,Darsana P. Josyula
532944,David J. Jeffrey
541851,Dehang Ju
544557,Dan ning Jiang
551738,D. Jungnickel
557955,Dawn C. Jegley
560225,Douglas S. Jones
561425,Donald W. Jared
561761,D. B. Jevitc
563771,Delyon Juditsky
567994,Dan Mahoney January
573231,D. c. Jorge
577719,Daniel Jitnah
579012,David Steinman Jaques
588315,Daniel C. Stanzione Jr.
591336,Diana L. V. Johnson
594756,David S. Sullivan Jr
596128,Debra Jackson
601954,David Julian
622274,D. Jones
629898,De Watt D J
641831,Dietmar Jahnel
641894,Daniel J. Jobson
649479,Dharanipragada Janakiram
650413,David A. Joslin
654370,Dennis A. Johnston
659671,Dong Hyuk Ju
667551,Daniel Osei joehene
671839,Donna L. Johnson
687879,David B. Jaffe
700338,Donald John Treacy Jr.
709507,David Joulfaian
720252,Dimensionality Reduction John
734530,David C. Jenn
743690,D. Michael Johns
748144,Dean Jackson
761209,D. Jennings
768723,David L. Jagerman
781627,Damien Joseph
786008,D. Judge
787672,D. R. Jurgensen
789219,Dalen JR
792368,Dominik Jergus
800292,D. C. Jesperson
808619,David B. Johnson
820641,David S. Johnson
837540,David R. Jefferson
856966,Dominique R. Jolly
881756,Doug Johnson
888212,Dj Jacobson
895837,David B. Jackson
907855,D. R. Jahagirdar
917049,David Jones
917364,D. Jassby
921526,Damir Juric
923493,Daniel Judy
926096,Daphne Joachim
939565,D. Jones
944592,David Jasnow
950089,Dale W. Jorgenson
951279,Dong Hyun Jang
954368,David R. Kohr Jr.
966047,Donald Byron Johnson
970998,David H. Jameson
981150,D. Johns
988580,Debra Jared
996390,DEREK JINKS
998111,D. Jacquet
1005149,D. Jansen
1005737,Duane Smith Jeffrey
1010137,Dongsik Jo
1012082,Douglas L. Jones
1037157,Don J.
1038063,D. J. Jolly
1046355,Daniel L. James
1048372,Dalong Jiang
1057865,Daniel Maarten Janse
1061743,Denis Jaisson
1067542,D. C. Joaquin
1069398,D. Jeltsema
1093416,Du She jun
1098290,Daxin Jiang
1101331,Debra Jared
1104731,D. J. G. James
1119951,Data Networks Judy
1129101,D. w. Jackson
1147824,David St. John
1154342,Daniel Jones
1162561,Dietmar R. A. Johlen
1172830,D. A. Jevans
1188953,D. y. Jeon
1210001,David W. Gow Jr.
1220707,Dz mou Jung
1231401,D. Jones
1239335,D. Jacinto
1240400,Dale W. Jorgenson
1255933,D. Jeckson
1259654,Domagoj Jakobovic
1264197,David John Jankowski
1266964,Don Murray Cullen Jennings
1277439,D. Jarrell
1295930,Dirk Janssens
1299809,Daniel Jac
1312608,Dean A. Herman Jr.
1323716,Dong ho Jeong
1333059,D. Juricic
1337495,DANIEL D. JENSEN
1356269,David W. Jakel
1358738,D. Joy
1361700,DANIEL JAY
1368927,David R. Jefferson
1370650,DEBORAH JOZEFOWICZ
1374388,D. C. Jefferson
1392094,Dhanisha Jhaveri
1394599,Douglas W. Jones
1398633,Dimensional Data Jerome
