17172,Li Shen Juhn
37047,Lee S. Jensen
37181,Lisa Jansson
47670,L. a. Fernandez jimenez
48979,Linda Jen Jacobson
49833,L. L. Jastrzebski
56552,Ljubomir Jerinic
66857,Lak Hyun Jang
106173,Luiz M. R. Gadelha Jr.
131028,Laura James
134152,Lloyd R. Jaisingh
147616,Lisa Johnson
160228,Leo Jiaya JIA
188843,L. Jin
190517,Leslie E. Trotter Jr.
220685,L. Jenkins
225876,Liang Jiao
277163,Leland H. Johnston
281964,L. R. Johnson
305157,Letizia Jaccheri
308077,Lamjed Ben Jabeur
320453,L. Arnold Johnson
350978,L. Jacobson
353516,Larry S. Jackson
361452,Laetitia Jourdan
365891,L. J. Jasper
374327,Lars G. Josefsson
407797,L. Jancher
411477,Lu Jin
420916,Laurent Joyeux
443086,Linus Jonsson
445213,Laetitia Jourdan
450400,Lalita J. Jagadeesa~a
470886,L Junck
476773,L. Janz
477123,L. CHRISTOFFER JOHANSSON
479026,Laetitia Jourdan
492102,Liviu Joita
493742,Lance G. Joneckis
511147,LAURENT O. JAYy
515110,Leigh A. Johnston
518954,Longfei Jiang
529745,Lucas Joppa
529862,Luis Pea Juan
539816,L. Jonasson
542208,Laurie L. Joiner
547799,Leslie Stephen Jennings
551757,Liss Jeffrey
563850,Lucas N. Joppa
579510,Linda Jones
601564,L. Johnstone
615777,Linn Johansson
636609,Laura Huei jiun Ju
648251,Louis P. Jarvis
703912,Lorentz Jantschi
707139,Lee Jensen
741913,Lidia Fuentes Jos
779477,Lorentz Jantschi
780667,Linda Jen Jacobson
788511,Lotus Jazz
812355,L. Jackson
820347,Lorentz JANTSCHI
822039,Larry L. Jacoby
827512,L. Jonikas
835174,L. Janauschek
840132,L. D. Jackell
867323,Lothar Jentsch
870142,L. Joswiak
886797,Leonard E. Jarrard
889799,Lemos Moreira Jr
940423,Lewis Church Jr.
941858,Letizia Jaccheri
953877,Luc E. Julia
981188,L. Jamniczky
986080,Lint van JH
986126,Linda M. Jelloian
991256,Laurent Joncheray
998771,L. j. Jiang
999882,Lajos Jakab
1014652,Ludy T. Benjamin Jr.
1024834,Leslie J. Waguespack Jr.
1026960,Lina El Jahel
1048048,L. A. Jaeckel
1056757,Larry M. Jordan
1061188,Lambert S. Joel
1089314,Ling sheng Jang
1092175,Lutgard C. De Jonghe
1100800,La Cour Janssen J
1105911,L. Joscovicz
1161899,Lukasz Jankowski
1179088,Lorentz Jantschi
1181500,Lili Ji
1181936,LU Hui juan
1182173,L. J. Varnerin Jr.
1189595,Luo Wen jun
1200237,L. R. Jones
1208841,Luo Si Jie
1228388,Laurent O. Jay
1247956,Lopez Barrios Janet
1252270,LaSalle Janine
1261399,Leif Obel Jepsen
1279814,Logic Systems Jose
1279754,Long Jiao
1296050,L. Ben Jemaa
1298292,Lena Jami
1304596,Luis M. T. Jesus
1309028,Lionel Jouffe
1321943,Lyndon W. Jones
1333850,L. Y. Jan
1338784,L. J. Jorat
1342947,Leonard Charest Jr
1350434,Liben Jiang
1384108,Lorentz Jantschi
1392520,L. m Jin
1393282,Lars J. Jensen
1420403,Laura M. Jansen
1470845,Lei Jiang
1486464,Lu Jiang
1501891,Lawrence D. Jackel
1509329,Leyland Jackson
1511704,Liliana Janicka
1511718,Leonhard Jaschke
1521507,LaDon Carlos Jones
1532457,L. Jacquet
1537836,L'eonard Jaillet
1545358,Lynn Fink J
1641185,Lonnie L. Jones
1645884,Lukasz Jaroszewski
1652121,Larry E. Jones
1665678,L. CLARK JOHNSON
1702803,Larry W. Hawk Jr.
1721329,Logic Programming Jes
1763688,Liu Xiao jing
1822763,Ludvik Janos
1823521,Lo Jolla
1828099,Laetitia Vermeulen jourdan
1840078,Leonard J. Cimini Jr.
1853465,Lars Jonung
1854241,LYNN JOHNSTON
1879196,Li Yi jie
1907026,Leif Johansson
1936812,L. Jermiin
1940766,Ljubomir Josifovski
1941664,Larry W. Hawk Jr
1955033,Leonard Jet
1967668,Louise H. Jones
1983674,Linguistic Terms Jonathan
2000311,Leonard R. Rockett Jr.
2025053,Li Hua Jin
2039496,LaDon C. Jones
2055025,Laetitia Jourdan
2063454,L. Jonker
2085838,Laurent Jolivet
2108123,L. Jackson
2112950,Lizy Kurian John
2116830,Leonard Kawell Jr.
2117268,Lionel C. Bening Jr.
2123284,Louis B. Jacques
2142322,L. B. Jack
2159541,Luiz Camolesi Jr.
2162076,Lennart Johnsson
2210581,Larry Jovanovic
2211115,Letter Communicated By John
2214638,Lakshmikanth S. Jonnalagadda
2226755,Lijun Ji
2247011,Lars Jacobsen
2263539,Laurence Jacqmin
2271224,Liang Nian Ji
2274762,Lili Ju
2281949,Li Der Jeng
