2104,Peter Summons
3434,Paul J. Santos
5583,P. J. Steinbart
10537,Paul Smolen
10854,Pyda Srisuresh
11860,P. Schank
12102,Peter Salamon
13435,P. S. Sawawakar
14993,Paulo E. Santos
16720,Paul Sage
20640,Peter Sjgren
20844,Priya Sharma
25270,P. R. M. Storchi
26384,Petter Stoa
27424,Paolo Solina
30140,Prasad Sistla
31405,P. Sukaviriya
34986,Patrick G. SOUKIASSIAN
39364,P. A. Simon
39656,Peter K. Sharpe
40733,P. Suppcs
42182,P. Scheele
42367,Paolo Secchi
43591,P. Duygulu sahin
44322,Péter János SZABÓ
44420,Patrick Suppes
45037,P Sanguinetti
46463,Paul J. Sylvester
46989,P. Stoye
48417,Paul C. Schroeder
49159,P. Soboci'nski
49802,Processing Utkarsh Srivastava
50391,Pavel Safrata
50939,Pieter Seuren
50998,Peter Sully
55113,Patrick Smit
56610,Philip Semprevivo
56617,Patrick De Smet
57101,P. S. Sangha
61591,Peter J Shepard
62210,P. Sotopacheco
62394,Patricia E. Styer
62984,Petra Schubert
66246,Patricio D. Simari
70091,Prasad Santhanam
72101,P. Stoppel
80080,Projet Sosso
83120,P. Silva
86718,Paul Seidel
87227,Paul D. Scott
88138,Protocol Requirements Status
88432,P. R. Snoeren
88529,P. Kilpel?ainen. Sgml
89034,Paolo Maria Santini
92825,Paulo Shakarian
93297,Patrick M. Sansom
95378,Paolo Simonini
96867,Piotr Stec
97910,P. B. Sheridan
99215,Peter W. Sauer
100927,Par Samuelsson
102578,Philip Surman
104735,P. Soedarmadi
105060,Patrick Suppes
105664,Pierre Sagaut
106106,Peter J. Sell
108240,Prashant Sridharan
110841,Peter Sefton
113680,P. Spector
113738,Proceedings Iau Symposium
114169,Peter Stoehr
117115,Pennsylvania State
117956,Position Tasks School
118639,Paul Slusarz
119283,Peter Stolk
120945,P. Scheytt
123390,P. L. Scrivener
124491,Piet hein Speel
125775,P. Schiemenz Sektion
129398,Paulo de Sepuvelda
